==============================================================================
 OpenVLab 全市场期权波动率地图（ctamap-all 83 品种 · asof 2026-09-08 10:16:46）
==============================================================================
sym    品种         板块    交易所            最新价    ATM隐波    隐波百分位      1日变化       偏度    偏度分位    RV22
IM     中证1000期货   EQ    CFFEX      7670.40    25.55     61.6     -0.63    -1.17    21.9   23.95
PF     短纤         EN    CZCE       7984.00    23.42     61.0     -3.63     0.17    28.8   24.59
SM     锰硅         BK    CZCE       5796.00    15.00     60.7     -1.19     0.42    17.4   18.13
159915 创业板ETF     EQ    SZSE          3.41    33.13     60.3     -0.46    -0.78    22.7   31.80
510500 中证500ETF   EQ    SHSE          7.83    25.32     59.9     -0.73    -1.27    13.6   24.35
AU     沪金         MT    SHFE        958.40    24.58     57.0     +0.47     1.74    82.3   23.95
LH     生猪         AG    DCE       11725.00    22.75     53.3     -0.27     1.91    71.9   17.47
SA     纯碱         EN    CZCE       1037.00    25.42     52.9     -2.94     1.07    19.0   29.40
588000 科创50ETF    EQ    SHSE          1.70    37.28     51.6     -0.90    -0.83    11.6   37.78
588080 科创板50ETF   EQ    SHSE          1.65    37.20     50.8     -0.46    -0.93    11.6   37.09
SC     原油         EN    INE         699.80    45.29     50.4     -9.42     1.26    40.7   53.00
IF     沪深300期货    EQ    CFFEX      4565.60    16.80     49.2     -0.30    -0.57    26.4   13.44
PR     瓶片         EN    CZCE       7906.00    23.10     48.0     -4.30     0.12    27.2   29.96
510300 沪深300ETF   EQ    SHSE          4.64    16.53     47.9     -0.04    -0.73    17.8   13.96
I      铁矿石        BK    DCE         750.50    17.46     45.9     -0.07     0.52    86.4   13.16
TA     PTA        EN    CZCE       6120.00    26.44     44.2     -3.55     1.02    53.7   28.10
PB     沪铅         MT    SHFE      16035.00    12.00     43.4     +0.41    -0.07    25.2    9.03
AD     铝合金        MT    SHFE      23580.00    12.04     42.6     -0.03     0.21    32.5    8.72
BC     国际铜        MT    INE       98920.00    16.60     42.5     +1.59     1.12    87.1   14.27
159919 沪深300ETF   EQ    SZSE          4.85    16.60     40.9     -0.08    -0.76    12.8   14.61
AL     沪铝         MT    SHFE      24455.00    12.22     38.8     +0.40     0.61    43.8    9.10
CL     美原油        EN    NYMEX        92.41    40.92     38.7     -0.90     0.67    33.8   42.39
NI     沪镍         MT    SHFE     127080.00    19.99     37.6     -0.01     1.63    49.6   13.97
JD     鸡蛋         AG    DCE        3888.00    20.75     36.4     -0.47     0.54    73.1   19.27
LC     碳酸锂        BK    GFEX     142140.00    41.52     35.1     -1.59     1.69    26.1   43.85
CU     沪铜         MT    SHFE     110610.00    16.71     34.7     +3.01     1.79    64.9   11.57
J      焦炭         BK    DCE        2142.50    37.35     33.3     -0.44     0.55    50.0   27.20
OP     双胶纸        EN    SHFE       3878.00    11.32     30.2     -0.01     1.45    93.7    8.44
SIL    美银         MT    COMEX        66.78    41.28     27.9     +1.29     1.69    80.1   36.67
RB     螺纹钢        BK    SHFE       3101.00    10.26     27.7     -0.22     0.83    71.1    8.39
AG     沪银         MT    SHFE      16280.00    42.29     27.4     +0.93     2.30    82.6   41.67
510050 上证50ETF    EQ    SHSE          3.02    13.87     23.1     -0.06    -0.09    38.8   11.12
SN     沪锡         MT    SHFE     418820.00    23.12     22.3     +0.14     0.11    20.7   18.51
SI     工业硅        BK    GFEX       8755.00    18.11     21.1     -0.66     2.19    72.1   15.02
PS     多晶硅        BK    GFEX      37335.00    33.12     18.2     -0.52     2.75    67.5   29.82
SH     烧碱         EN    CZCE       1924.00    21.39     15.3     -3.28     1.46    50.0   18.99
IH     上证50期货     EQ    CFFEX      2906.00    13.30     13.2     -0.15     0.26    73.1   10.79
HG     美铜         MT    NYMEX         6.74    23.60     13.1     +2.38     1.95    89.2   20.22
AP     苹果         AG    CZCE       7464.00    20.44     10.0     -0.49     1.44    93.1   20.63
PK     花生         AG    CZCE       7984.00     8.92      9.1     +0.09     0.45    19.0    7.56
HHI    恒生国企指数期货   EQ    HKFE       8362.00    17.10      6.1     -0.10    -0.60    27.3   14.52
HSI    恒生指数期货     EQ    HKFE      25217.00    15.59      5.6     -0.09    -0.45    38.5   13.92
LG     原木         BK    DCE         839.50     9.99      5.0     -0.10     0.11     6.2    4.98
FG     玻璃         EN    CZCE        942.00    20.64      4.5     -3.38     1.71    36.0   22.69
HSTECH 恒生科技指数期货   EQ    HKFE       4486.00    22.97      2.6     -0.54    -0.52    29.4   19.42
AO     氧化铝        MT    SHFE       2719.00    15.56      1.6     -0.20     1.56    37.6   13.24
PD     钯          MT    GFEX        327.25        -        -         -        -       -   34.96
PT     铂          MT    GFEX        454.00        -        -         -        -       -   36.49
------------------------------------------------------------------------------
【与本地 iv_surface（T链反推）交叉校验 · 偏差>2vol 标注 ⚠️】
 （无对照数据：本地 iv_surface.json 缺失或为空，属正常冷启动）

口径：匿名 GET ctamap-all?add_overseas=true（83品种含海外）；隐波为ATM平值隐含波动率(%)；
      数据仅做研究侧采集，不进综合分；来源 openvlab.cn（期权专业站，与 Legend 桌面端同源）。
